"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0051701" "BP" "GO:0051701" "biological process involved in interaction with host" "9/92" "203/18723" 6.92662578272598e-07 8.68701713885983e-06 5.17387584322212e-06 "CCR5/ANPEP/CD4/CTSB/CTSL/CXCL8/DPP4/NCAM1/NRP1" 9
"GO:0045670" "BP" "GO:0045670" "regulation of osteoclast differentiation" "6/92" "64/18723" 7.11504404718263e-07 8.88452456674283e-06 5.29150873074223e-06 "TLR3/CCL3/IFNG/MTOR/TLR4/TNF" 6
"GO:0045346" "BP" "GO:0045346" "regulation of MHC class II biosynthetic process" "4/92" "15/18723" 7.14893784287442e-07 8.88820324014517e-06 5.29369970137659e-06 "IFNG/IL10/JAK2/TLR4" 4
"GO:0001959" "BP" "GO:0001959" "regulation of cytokine-mediated signaling pathway" "8/92" "150/18723" 7.41851729360485e-07 9.18361278760048e-06 5.46964183398724e-06 "IL1RN/FADD/TBK1/IRF3/ADAM17/IL7/MAVS/STAT2" 8
"GO:2001236" "BP" "GO:2001236" "regulation of extrinsic apoptotic signaling pathway" "8/92" "151/18723" 7.80230814474081e-07 9.61726566167193e-06 5.72791991651403e-06 "IL1B/FADD/STK4/IL7/NRP1/SERPINE1/TNF/MCL1" 8
"GO:0045621" "BP" "GO:0045621" "positive regulation of lymphocyte differentiation" "7/92" "104/18723" 7.91493383697717e-07 9.71439742726429e-06 5.78577034866753e-06 "RAG1/IFNG/IL10/IL18/IL2RA/IL7/NLRP3" 7
"GO:0002573" "BP" "GO:0002573" "myeloid leukocyte differentiation" "9/92" "208/18723" 8.48863616845596e-07 1.03524529906011e-05 6.16578804784005e-06 "TLR3/FADD/CCL3/CD4/IFNG/MTOR/TLR4/TNF/VEGFA" 9
"GO:0072678" "BP" "GO:0072678" "T cell migration" "6/92" "66/18723" 8.55483555361061e-07 1.03524529906011e-05 6.16578804784005e-06 "CCR2/DOCK8/FADD/CCL3/ADAM17/CXCL10" 6
"GO:0042092" "BP" "GO:0042092" "type 2 immune response" "5/92" "36/18723" 8.57898263148698e-07 1.03524529906011e-05 6.16578804784005e-06 "CCR2/IL10/IL18/NLRP3/RSAD2" 5
"GO:0060338" "BP" "GO:0060338" "regulation of type I interferon-mediated signaling pathway" "5/92" "36/18723" 8.57898263148698e-07 1.03524529906011e-05 6.16578804784005e-06 "FADD/TBK1/IRF3/MAVS/STAT2" 5
"GO:0002827" "BP" "GO:0002827" "positive regulation of T-helper 1 type immune response" "4/92" "16/18723" 9.49611348460021e-07 1.13165302604862e-05 6.73998008843649e-06 "IL1B/CCR2/SLC11A1/IL18" 4
"GO:0051044" "BP" "GO:0051044" "positive regulation of membrane protein ectodomain proteolysis" "4/92" "16/18723" 9.49611348460021e-07 1.13165302604862e-05 6.73998008843649e-06 "IL1B/FURIN/IFNG/TNF" 4
"GO:0051770" "BP" "GO:0051770" "positive regulation of nitric-oxide synthase biosynthetic process" "4/92" "16/18723" 9.49611348460021e-07 1.13165302604862e-05 6.73998008843649e-06 "STAT1/IFNG/JAK2/TLR4" 4
"GO:0032102" "BP" "GO:0032102" "negative regulation of response to external stimulus" "12/92" "420/18723" 9.9701154460579e-07 1.18323022979662e-05 7.04716729005832e-06 "DPP4/FURIN/HLA-A/IL10/IL2RA/NFKB1/NLRP3/NRP1/SERPINE1/STAT2/TNF/HLA-B" 12
"GO:0002294" "BP" "GO:0002294" "CD4-positive, alpha-beta T cell differentiation involved in immune response" "6/92" "68/18723" 1.02247847903086e-06 1.20350745564616e-05 7.16793584307658e-06 "IL6R/STAT3/IFNG/IL18/MTOR/NLRP3" 6
"GO:0042531" "BP" "GO:0042531" "positive regulation of tyrosine phosphorylation of STAT protein" "6/92" "68/18723" 1.02247847903086e-06 1.20350745564616e-05 7.16793584307658e-06 "IL6R/IL6ST/IFNG/IL18/JAK2/TNF" 6
"GO:0002287" "BP" "GO:0002287" "alpha-beta T cell activation involved in immune response" "6/92" "69/18723" 1.11545737912797e-06 1.30227381823395e-05 7.75617561439002e-06 "IL6R/STAT3/IFNG/IL18/MTOR/NLRP3" 6
"GO:0002293" "BP" "GO:0002293" "alpha-beta T cell differentiation involved in immune response" "6/92" "69/18723" 1.11545737912797e-06 1.30227381823395e-05 7.75617561439002e-06 "IL6R/STAT3/IFNG/IL18/MTOR/NLRP3" 6
"GO:0002548" "BP" "GO:0002548" "monocyte chemotaxis" "6/92" "70/18723" 1.2152381089423e-06 1.41302180116691e-05 8.41577637771673e-06 "IL6R/CX3CR1/CCR2/CCL3/CXCL10/SERPINE1" 6
"GO:0050792" "BP" "GO:0050792" "regulation of viral process" "8/92" "164/18723" 1.45612852963622e-06 1.68629078109485e-05 1.0043331327075e-05 "STAT1/CD4/CXCL8/IFIH1/MAVS/RSAD2/TNF/MX1" 8
"GO:0002286" "BP" "GO:0002286" "T cell activation involved in immune response" "7/92" "114/18723" 1.47333455468444e-06 1.69936419319426e-05 1.0121194890561e-05 "IL6R/STAT3/SLC11A1/IFNG/IL18/MTOR/NLRP3" 7
"GO:0035743" "BP" "GO:0035743" "CD4-positive, alpha-beta T cell cytokine production" "4/92" "18/18723" 1.58462964052068e-06 1.81316985162367e-05 1.07990067764567e-05 "IL1B/IL18/NLRP3/RSAD2" 4
"GO:0150078" "BP" "GO:0150078" "positive regulation of neuroinflammatory response" "4/92" "18/18723" 1.58462964052068e-06 1.81316985162367e-05 1.07990067764567e-05 "IL1B/CCL3/IL18/TNF" 4
"GO:0002292" "BP" "GO:0002292" "T cell differentiation involved in immune response" "6/92" "75/18723" 1.82991402576626e-06 2.08552106428599e-05 1.2421095621847e-05 "IL6R/STAT3/IFNG/IL18/MTOR/NLRP3" 6
"GO:0071356" "BP" "GO:0071356" "cellular response to tumor necrosis factor" "9/92" "229/18723" 1.88517314675046e-06 2.13857654524559e-05 1.27370872526905e-05 "STAT1/TRAF3/CCL3/ADAM17/CXCL8/JAK2/NFKB1/TNF/MAPK3" 9
"GO:2000404" "BP" "GO:2000404" "regulation of T cell migration" "5/92" "42/18723" 1.89135947943029e-06 2.13857654524559e-05 1.27370872526905e-05 "CCR2/DOCK8/FADD/ADAM17/CXCL10" 5
"GO:0042129" "BP" "GO:0042129" "regulation of T cell proliferation" "8/92" "171/18723" 1.99252686451585e-06 2.24413221760373e-05 1.33657632810661e-05 "IL1B/CCR2/IL6ST/FADD/HLA-A/IL10/IL18/IL2RA" 8
"GO:0010469" "BP" "GO:0010469" "regulation of signaling receptor activity" "8/92" "173/18723" 2.1736105840186e-06 2.43851937394587e-05 1.45235082196967e-05 "CCR2/ADAM17/IFNG/IL10/JAK2/NRP1/SERPINE1/TNF" 8
"GO:0045619" "BP" "GO:0045619" "regulation of lymphocyte differentiation" "8/92" "174/18723" 2.26928123941254e-06 2.53594385976374e-05 1.51037559453016e-05 "CCR2/RAG1/IFNG/IL10/IL18/IL2RA/IL7/NLRP3" 8
"GO:0150076" "BP" "GO:0150076" "neuroinflammatory response" "5/92" "44/18723" 2.39598844886875e-06 2.66716233532987e-05 1.58852763337892e-05 "IL1B/CCL3/IFNG/IL18/TNF" 5
"GO:0051403" "BP" "GO:0051403" "stress-activated MAPK cascade" "9/92" "239/18723" 2.67887931734786e-06 2.97055652487377e-05 1.76922531627323e-05 "IL1B/TLR3/TRAF3/TLR7/NFKB1/TLR4/TNF/VEGFA/MAPK3" 9
"GO:0071621" "BP" "GO:0071621" "granulocyte chemotaxis" "7/92" "125/18723" 2.73314718343647e-06 3.01907642724213e-05 1.79812314699768e-05 "CCL3/CXCL1/CXCL10/CXCL5/CXCL8/DPP4/MAPK3" 7
"GO:0001936" "BP" "GO:0001936" "regulation of endothelial cell proliferation" "8/92" "179/18723" 2.803207228726e-06 3.08460197735673e-05 1.83714932312149e-05 "STAT1/STAT3/ADAM17/IL10/MTOR/NRP1/TNF/VEGFA" 8
"GO:0043373" "BP" "GO:0043373" "CD4-positive, alpha-beta T cell lineage commitment" "4/92" "21/18723" 3.06457093054365e-06 3.30881492951931e-05 1.97068767793171e-05 "IL6R/STAT3/CTSL/MTOR" 4
"GO:0051767" "BP" "GO:0051767" "nitric-oxide synthase biosynthetic process" "4/92" "21/18723" 3.06457093054365e-06 3.30881492951931e-05 1.97068767793171e-05 "STAT1/IFNG/JAK2/TLR4" 4
"GO:0051769" "BP" "GO:0051769" "regulation of nitric-oxide synthase biosynthetic process" "4/92" "21/18723" 3.06457093054365e-06 3.30881492951931e-05 1.97068767793171e-05 "STAT1/IFNG/JAK2/TLR4" 4
"GO:0061081" "BP" "GO:0061081" "positive regulation of myeloid leukocyte cytokine production involved in immune response" "4/92" "21/18723" 3.06457093054365e-06 3.30881492951931e-05 1.97068767793171e-05 "TICAM1/DDX58/MAVS/TLR4" 4
"GO:0090026" "BP" "GO:0090026" "positive regulation of monocyte chemotaxis" "4/92" "21/18723" 3.06457093054365e-06 3.30881492951931e-05 1.97068767793171e-05 "CX3CR1/CCR2/CXCL10/SERPINE1" 4
"GO:0019932" "BP" "GO:0019932" "second-messenger-mediated signaling" "10/92" "312/18723" 3.08292571604934e-06 3.31616578894895e-05 1.97506575540318e-05 "CX3CR1/CCR2/CCR5/CCL3/CAP1/CD4/CXCL8/MTOR/TNF/VEGFA" 10
"GO:0051402" "BP" "GO:0051402" "neuron apoptotic process" "9/92" "246/18723" 3.39252263980185e-06 3.63556903787721e-05 2.1652982284674e-05 "CX3CR1/FADD/CCL3/HSPA5/IL10/JAK2/NRP1/TNF/MCL1" 9
"GO:0031098" "BP" "GO:0031098" "stress-activated protein kinase signaling cascade" "9/92" "247/18723" 3.50674334130319e-06 3.74400255621664e-05 2.22987983941212e-05 "IL1B/TLR3/TRAF3/TLR7/NFKB1/TLR4/TNF/VEGFA/MAPK3" 9
"GO:0042509" "BP" "GO:0042509" "regulation of tyrosine phosphorylation of STAT protein" "6/92" "85/18723" 3.82121832373994e-06 4.0496453969672e-05 2.41191679008639e-05 "IL6R/IL6ST/IFNG/IL18/JAK2/TNF" 6
"GO:0045069" "BP" "GO:0045069" "regulation of viral genome replication" "6/92" "85/18723" 3.82121832373994e-06 4.0496453969672e-05 2.41191679008639e-05 "CXCL8/IFIH1/MAVS/RSAD2/TNF/MX1" 6
"GO:0032147" "BP" "GO:0032147" "activation of protein kinase activity" "7/92" "134/18723" 4.34081067728055e-06 4.58338539159917e-05 2.729805476231e-05 "IL6R/TLR3/SLC11A1/IL18/JAK2/MTOR/VEGFA" 7
"GO:0002363" "BP" "GO:0002363" "alpha-beta T cell lineage commitment" "4/92" "23/18723" 4.50015856598535e-06 4.71695452609851e-05 2.80935753735159e-05 "IL6R/STAT3/CTSL/MTOR" 4
"GO:0043369" "BP" "GO:0043369" "CD4-positive or CD8-positive, alpha-beta T cell lineage commitment" "4/92" "23/18723" 4.50015856598535e-06 4.71695452609851e-05 2.80935753735159e-05 "IL6R/STAT3/CTSL/MTOR" 4
"GO:0045058" "BP" "GO:0045058" "T cell selection" "5/92" "50/18723" 4.5671935694874e-06 4.76981088420648e-05 2.84083810542279e-05 "IL6R/STAT3/CD4/CTSL/MTOR" 5
"GO:0051235" "BP" "GO:0051235" "maintenance of location" "10/92" "327/18723" 4.67443246182507e-06 4.85168560153497e-05 2.88960163557188e-05 "IL1B/CCR5/CCL3/CD19/CD4/CXCL10/HSPA5/IL10/NFKB1/TNF" 10
"GO:0007260" "BP" "GO:0007260" "tyrosine phosphorylation of STAT protein" "6/92" "88/18723" 4.67937643323533e-06 4.85168560153497e-05 2.88960163557188e-05 "IL6R/IL6ST/IFNG/IL18/JAK2/TNF" 6
"GO:0045582" "BP" "GO:0045582" "positive regulation of T cell differentiation" "6/92" "91/18723" 5.68801656203047e-06 5.87625308134946e-05 3.49982086834514e-05 "RAG1/IFNG/IL18/IL2RA/IL7/NLRP3" 6
"GO:0048525" "BP" "GO:0048525" "negative regulation of viral process" "6/92" "92/18723" 6.06096991680415e-06 6.23910595020126e-05 3.71593137702575e-05 "STAT1/IFIH1/MAVS/RSAD2/TNF/MX1" 6
"GO:0071902" "BP" "GO:0071902" "positive regulation of protein serine/threonine kinase activity" "8/92" "200/18723" 6.36763434177756e-06 6.52142312713262e-05 3.88407586189361e-05 "IL1B/STK4/ADAM17/IFNG/TLR4/TNF/VEGFA/ERN1" 8
"GO:1901623" "BP" "GO:1901623" "regulation of lymphocyte chemotaxis" "4/92" "25/18723" 6.38064031589229e-06 6.52142312713262e-05 3.88407586189361e-05 "CCR2/CCL3/ADAM17/CXCL10" 4
"GO:0019722" "BP" "GO:0019722" "calcium-mediated signaling" "8/92" "202/18723" 6.85012181394382e-06 6.96839923826432e-05 4.15028909330725e-05 "CX3CR1/CCR2/CCR5/CCL3/CD4/CXCL8/MTOR/TNF" 8
"GO:0030316" "BP" "GO:0030316" "osteoclast differentiation" "6/92" "94/18723" 6.86649367837326e-06 6.96839923826432e-05 4.15028909330725e-05 "TLR3/CCL3/IFNG/MTOR/TLR4/TNF" 6
"GO:0106106" "BP" "GO:0106106" "cold-induced thermogenesis" "7/92" "144/18723" 6.98242121978475e-06 7.03632061165677e-05 4.19074219100654e-05 "CPT2/CCR2/ADAM17/IL18/JAK2/TLR4/VEGFA" 7
"GO:0120161" "BP" "GO:0120161" "regulation of cold-induced thermogenesis" "7/92" "144/18723" 6.98242121978475e-06 7.03632061165677e-05 4.19074219100654e-05 "CPT2/CCR2/ADAM17/IL18/JAK2/TLR4/VEGFA" 7
"GO:0034114" "BP" "GO:0034114" "regulation of heterotypic cell-cell adhesion" "4/92" "26/18723" 7.51246496144225e-06 7.51770012866277e-05 4.47744564912659e-05 "IL1B/IL1RN/IL10/TNF" 4
"GO:1900017" "BP" "GO:1900017" "positive regulation of cytokine production involved in inflammatory response" "4/92" "26/18723" 7.51246496144225e-06 7.51770012866277e-05 4.47744564912659e-05 "STAT3/TICAM1/TLR4/TNF" 4
"GO:0045580" "BP" "GO:0045580" "regulation of T cell differentiation" "7/92" "146/18723" 7.64511295335081e-06 7.62387652848039e-05 4.5406829492672e-05 "CCR2/RAG1/IFNG/IL18/IL2RA/IL7/NLRP3" 7
"GO:0002886" "BP" "GO:0002886" "regulation of myeloid leukocyte mediated immunity" "5/92" "56/18723" 8.04507918484127e-06 7.96740255822901e-05 4.74528264078659e-05 "CX3CR1/CCR2/TICAM1/DDX58/MAVS" 5
"GO:0045071" "BP" "GO:0045071" "negative regulation of viral genome replication" "5/92" "56/18723" 8.04507918484127e-06 7.96740255822901e-05 4.74528264078659e-05 "IFIH1/MAVS/RSAD2/TNF/MX1" 5
"GO:1901216" "BP" "GO:1901216" "positive regulation of neuron death" "6/92" "97/18723" 8.23577106317945e-06 8.10038852515458e-05 4.82448737478969e-05 "CCL3/IFNG/MTOR/TLR4/TNF/MCL1" 6
"GO:2001237" "BP" "GO:2001237" "negative regulation of extrinsic apoptotic signaling pathway" "6/92" "97/18723" 8.23577106317945e-06 8.10038852515458e-05 4.82448737478969e-05 "IL1B/IL7/NRP1/SERPINE1/TNF/MCL1" 6
"GO:0097530" "BP" "GO:0097530" "granulocyte migration" "7/92" "148/18723" 8.35924135893585e-06 8.16589836151828e-05 4.86350419200528e-05 "CCL3/CXCL1/CXCL10/CXCL5/CXCL8/DPP4/MAPK3" 7
"GO:1903900" "BP" "GO:1903900" "regulation of viral life cycle" "7/92" "148/18723" 8.35924135893585e-06 8.16589836151828e-05 4.86350419200528e-05 "CD4/CXCL8/IFIH1/MAVS/RSAD2/TNF/MX1" 7
"GO:0002825" "BP" "GO:0002825" "regulation of T-helper 1 type immune response" "4/92" "27/18723" 8.78589698275011e-06 8.55359190998587e-05 5.09440949044387e-05 "IL1B/CCR2/SLC11A1/IL18" 4
"GO:0001818" "BP" "GO:0001818" "negative regulation of cytokine production" "10/92" "357/18723" 1.00889968961538e-05 9.78905374518706e-05 5.83023469283425e-05 "CX3CR1/SLC11A1/FURIN/IFNG/IL10/NFKB1/NLRP3/TLR4/TNF/SARS1" 10
"GO:0002474" "BP" "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" "4/92" "28/18723" 1.02117648654019e-05 9.80875876034591e-05 5.84197074679743e-05 "ACE/HLA-A/HLA-C/HLA-B" 4
"GO:0010818" "BP" "GO:0010818" "T cell chemotaxis" "4/92" "28/18723" 1.02117648654019e-05 9.80875876034591e-05 5.84197074679743e-05 "CCR2/CCL3/ADAM17/CXCL10" 4
"GO:0061082" "BP" "GO:0061082" "myeloid leukocyte cytokine production" "4/92" "28/18723" 1.02117648654019e-05 9.80875876034591e-05 5.84197074679743e-05 "TICAM1/DDX58/MAVS/TLR4" 4
"GO:0030593" "BP" "GO:0030593" "neutrophil chemotaxis" "6/92" "103/18723" 1.16389619302859e-05 0.000110685757164838 6.5923015464324e-05 "CCL3/CXCL1/CXCL10/CXCL5/CXCL8/DPP4" 6
"GO:0045639" "BP" "GO:0045639" "positive regulation of myeloid cell differentiation" "6/92" "103/18723" 1.16389619302859e-05 0.000110685757164838 6.5923015464324e-05 "STAT1/FADD/STAT3/CD4/IFNG/TNF" 6
"GO:0046425" "BP" "GO:0046425" "regulation of receptor signaling pathway via JAK-STAT" "6/92" "103/18723" 1.16389619302859e-05 0.000110685757164838 6.5923015464324e-05 "IL6R/MST1/IFNG/IL10/JAK2/TNF" 6
"GO:0090025" "BP" "GO:0090025" "regulation of monocyte chemotaxis" "4/92" "29/18723" 1.18012197215454e-05 0.000111858425875506 6.66214418881754e-05 "CX3CR1/CCR2/CXCL10/SERPINE1" 4
"GO:0045088" "BP" "GO:0045088" "regulation of innate immune response" "8/92" "218/18723" 1.19487606636737e-05 0.000112884344164707 6.72324656456712e-05 "FADD/TBK1/IRF3/HLA-A/MAVS/STAT2/TLR4/HLA-B" 8
"GO:1990845" "BP" "GO:1990845" "adaptive thermogenesis" "7/92" "157/18723" 1.2295623469073e-05 0.00011578042820714 6.89573361078295e-05 "CPT2/CCR2/ADAM17/IL18/JAK2/TLR4/VEGFA" 7
"GO:0042368" "BP" "GO:0042368" "vitamin D biosynthetic process" "3/92" "10/18723" 1.34382688267065e-05 0.000126126496961768 7.51193217867152e-05 "IFNG/NFKB1/TNF" 3
"GO:0010001" "BP" "GO:0010001" "glial cell differentiation" "8/92" "225/18723" 1.50234852091101e-05 0.000140089121820014 8.34352818345999e-05 "IL6ST/IFNGR1/STAT3/IFNG/MTOR/TLR4/TNF/MAPK3" 8
"GO:0050769" "BP" "GO:0050769" "positive regulation of neurogenesis" "8/92" "225/18723" 1.50234852091101e-05 0.000140089121820014 8.34352818345999e-05 "IL1B/CX3CR1/IL6ST/IFNG/MTOR/NRP1/TNF/VEGFA" 8
"GO:0002828" "BP" "GO:0002828" "regulation of type 2 immune response" "4/92" "31/18723" 1.55170624742834e-05 0.000144223312058712 8.58975524466379e-05 "CCR2/IL18/NLRP3/RSAD2" 4
"GO:0046777" "BP" "GO:0046777" "protein autophosphorylation" "8/92" "227/18723" 1.60153761381173e-05 0.000148374710544106 8.83700720694077e-05 "STK4/AAK1/ACE/JAK2/MTOR/VEGFA/MAPK3/ERN1" 8
"GO:0038034" "BP" "GO:0038034" "signal transduction in absence of ligand" "5/92" "65/18723" 1.68015934502328e-05 0.000154660821759835 9.21139991789078e-05 "IL1B/FADD/IL7/TNF/MCL1" 5
"GO:0097192" "BP" "GO:0097192" "extrinsic apoptotic signaling pathway in absence of ligand" "5/92" "65/18723" 1.68015934502328e-05 0.000154660821759835 9.21139991789078e-05 "IL1B/FADD/IL7/TNF/MCL1" 5
"GO:0002698" "BP" "GO:0002698" "negative regulation of immune effector process" "6/92" "110/18723" 1.69616127306565e-05 0.000155634989656376 9.26942010671494e-05 "CX3CR1/CCR2/HLA-A/IL10/TNF/HLA-B" 6
"GO:0001938" "BP" "GO:0001938" "positive regulation of endothelial cell proliferation" "6/92" "111/18723" 1.78605213277713e-05 0.000163361201443819 9.72958335823948e-05 "STAT3/ADAM17/IL10/MTOR/NRP1/VEGFA" 6
"GO:0042093" "BP" "GO:0042093" "T-helper cell differentiation" "5/92" "66/18723" 1.8108651638337e-05 0.000164582428814253 9.80231809203788e-05 "IL6R/STAT3/IL18/MTOR/NLRP3" 5
"GO:0050918" "BP" "GO:0050918" "positive chemotaxis" "5/92" "66/18723" 1.8108651638337e-05 0.000164582428814253 9.80231809203788e-05 "CCL3/CXCL10/CXCL8/NRP1/VEGFA" 5
"GO:0007254" "BP" "GO:0007254" "JNK cascade" "7/92" "167/18723" 1.83571150128583e-05 0.000164731339989628 9.81118705040116e-05 "IL1B/TLR3/TRAF3/TLR7/NFKB1/TLR4/TNF" 7
"GO:0002732" "BP" "GO:0002732" "positive regulation of dendritic cell cytokine production" "3/92" "11/18723" 1.8411824560122e-05 0.000164731339989628 9.81118705040116e-05 "TICAM1/DDX58/MAVS" 3
"GO:0030656" "BP" "GO:0030656" "regulation of vitamin metabolic process" "3/92" "11/18723" 1.8411824560122e-05 0.000164731339989628 9.81118705040116e-05 "IFNG/NFKB1/TNF" 3
"GO:0071679" "BP" "GO:0071679" "commissural neuron axon guidance" "3/92" "11/18723" 1.8411824560122e-05 0.000164731339989628 9.81118705040116e-05 "NCAM1/NRP1/VEGFA" 3
"GO:1900222" "BP" "GO:1900222" "negative regulation of amyloid-beta clearance" "3/92" "11/18723" 1.8411824560122e-05 0.000164731339989628 9.81118705040116e-05 "IFNGR1/IFNG/TNF" 3
"GO:0002526" "BP" "GO:0002526" "acute inflammatory response" "6/92" "112/18723" 1.87974817866284e-05 0.000167659526991294 9.98558610764012e-05 "IL6R/IL1B/IL6ST/STAT3/NLRP3/TNF" 6
"GO:0046635" "BP" "GO:0046635" "positive regulation of alpha-beta T cell activation" "5/92" "67/18723" 1.94935479554715e-05 0.00017332962764122 0.000103232900204143 "CCR2/HLA-A/IFNG/IL18/NLRP3" 5
"GO:0071347" "BP" "GO:0071347" "cellular response to interleukin-1" "6/92" "113/18723" 1.9773693503464e-05 0.000175277925129471 0.000104393281166761 "IL1B/IL1RN/CCL3/CXCL8/NFKB1/MAPK3" 6
"GO:1901099" "BP" "GO:1901099" "negative regulation of signal transduction in absence of ligand" "4/92" "33/18723" 2.00288005010675e-05 0.000176450046132104 0.000105091381382741 "IL1B/IL7/TNF/MCL1" 4
"GO:2001240" "BP" "GO:2001240" "negative regulation of extrinsic apoptotic signaling pathway in absence of ligand" "4/92" "33/18723" 2.00288005010675e-05 0.000176450046132104 0.000105091381382741 "IL1B/IL7/TNF/MCL1" 4
"GO:1904892" "BP" "GO:1904892" "regulation of receptor signaling pathway via STAT" "6/92" "114/18723" 2.07903801117294e-05 0.000182599301776413 0.000108753799071496 "IL6R/MST1/IFNG/IL10/JAK2/TNF" 6
"GO:0043410" "BP" "GO:0043410" "positive regulation of MAPK cascade" "11/92" "480/18723" 2.32131038624056e-05 0.000203256202112283 0.000121056783621339 "IL1B/TLR3/TRAF3/CCL3/CD4/NRP1/TLR4/TNF/VEGFA/MAPK3/ERN1" 11
"GO:0072676" "BP" "GO:0072676" "lymphocyte migration" "6/92" "117/18723" 2.40958927989278e-05 0.000210344693369364 0.000125278597978748 "CCR2/DOCK8/FADD/CCL3/ADAM17/CXCL10" 6
"GO:0034154" "BP" "GO:0034154" "toll-like receptor 7 signaling pathway" "3/92" "12/18723" 2.4461702313301e-05 0.000212890936496365 0.000126795107684574 "UNC93B1/TLR7/RSAD2" 3
"GO:0018105" "BP" "GO:0018105" "peptidyl-serine phosphorylation" "9/92" "315/18723" 2.46118402078034e-05 0.000213550468510004 0.000127187916481732 "TBK1/STK4/MST1/IFNG/MTOR/TNF/VEGFA/MAPK3/ERN1" 9
"GO:0010506" "BP" "GO:0010506" "regulation of autophagy" "9/92" "317/18723" 2.58656930143059e-05 0.000223753826316526 0.000133264905352717 "TBK1/STAT3/TICAM1/IFNG/IL10/MTOR/MAPK3/MCL1/ERN1" 9
"GO:0070227" "BP" "GO:0070227" "lymphocyte apoptotic process" "5/92" "72/18723" 2.77009912321821e-05 0.000238910651107588 0.000142292115543847 "DOCK8/RAG1/FADD/IL10/IL2RA" 5
"GO:0071496" "BP" "GO:0071496" "cellular response to external stimulus" "9/92" "320/18723" 2.78480982708394e-05 0.000239460294113326 0.000142619475859168 "IL1B/TLR3/FADD/TLR7/HSPA5/MTOR/NFKB1/TLR4/MAPK3" 9
"GO:1904019" "BP" "GO:1904019" "epithelial cell apoptotic process" "6/92" "121/18723" 2.91484369674188e-05 0.000249893465583364 0.000148833338796718 "STK4/IL10/JAK2/MTOR/SERPINE1/TNF" 6
"GO:0019730" "BP" "GO:0019730" "antimicrobial humoral response" "6/92" "122/18723" 3.05359376768396e-05 0.000260235053435856 0.000154992655707838 "SLC11A1/CXCL1/CXCL10/CXCL5/CXCL8/HLA-A" 6
"GO:1990266" "BP" "GO:1990266" "neutrophil migration" "6/92" "122/18723" 3.05359376768396e-05 0.000260235053435856 0.000154992655707838 "CCL3/CXCL1/CXCL10/CXCL5/CXCL8/DPP4" 6
"GO:0002437" "BP" "GO:0002437" "inflammatory response to antigenic stimulus" "5/92" "74/18723" 3.16473102102592e-05 0.000266877220026741 0.000158948644826072 "IL1RN/FURIN/IL10/IL2RA/TNF" 5
"GO:0034112" "BP" "GO:0034112" "positive regulation of homotypic cell-cell adhesion" "3/92" "13/18723" 3.1687023687019e-05 0.000266877220026741 0.000158948644826072 "IL6ST/JAK1/JAK2" 3
"GO:0042362" "BP" "GO:0042362" "fat-soluble vitamin biosynthetic process" "3/92" "13/18723" 3.1687023687019e-05 0.000266877220026741 0.000158948644826072 "IFNG/NFKB1/TNF" 3
"GO:1903977" "BP" "GO:1903977" "positive regulation of glial cell migration" "3/92" "13/18723" 3.1687023687019e-05 0.000266877220026741 0.000158948644826072 "CX3CR1/CCR2/CCL3" 3
"GO:0043368" "BP" "GO:0043368" "positive T cell selection" "4/92" "37/18723" 3.18446629504912e-05 0.000267420678344476 0.000159272321620647 "IL6R/STAT3/CTSL/MTOR" 4
"GO:0009595" "BP" "GO:0009595" "detection of biotic stimulus" "4/92" "38/18723" 3.54577495488364e-05 0.000296894042869557 0.000176826279014452 "HLA-A/NLRP3/TLR4/HLA-B" 4
"GO:0071214" "BP" "GO:0071214" "cellular response to abiotic stimulus" "9/92" "331/18723" 3.62598515643869e-05 0.000301850126646143 0.00017977805886233 "IL1B/TLR3/FADD/TLR7/HSPA5/NFKB1/TLR4/MAPK3/XPC" 9
"GO:0104004" "BP" "GO:0104004" "cellular response to environmental stimulus" "9/92" "331/18723" 3.62598515643869e-05 0.000301850126646143 0.00017977805886233 "IL1B/TLR3/FADD/TLR7/HSPA5/NFKB1/TLR4/MAPK3/XPC" 9
"GO:0032874" "BP" "GO:0032874" "positive regulation of stress-activated MAPK cascade" "6/92" "126/18723" 3.66268780551681e-05 0.000304024259463707 0.000181072944446754 "IL1B/TLR3/TRAF3/TLR4/TNF/VEGFA" 6
"GO:0016572" "BP" "GO:0016572" "histone phosphorylation" "4/92" "39/18723" 3.93620543247653e-05 0.000325786224843591 0.000194034091544801 "IL1B/MST1/JAK2/MAPK3" 4
"GO:0031348" "BP" "GO:0031348" "negative regulation of defense response" "8/92" "258/18723" 4.00064264040069e-05 0.000329318818443192 0.000196138058924713 "FURIN/HLA-A/IL10/IL2RA/NFKB1/NLRP3/STAT2/HLA-B" 8
"GO:0070304" "BP" "GO:0070304" "positive regulation of stress-activated protein kinase signaling cascade" "6/92" "128/18723" 4.00181990378391e-05 0.000329318818443192 0.000196138058924713 "IL1B/TLR3/TRAF3/TLR4/TNF/VEGFA" 6
